datum,starttid,typ,varaktighet_min,energi_kcal,puls_medel,puls_max,distans_km,hastighet_kmh,steg,tempo_min_per_km
2026-06-24,21:09,Utomhus Kör,9.8,122,142,156,1.57,9.45,1515,6:21
2026-06-24,21:19,Traditionell styrketräning,19.5,174,131,161,0.0,0.0,372,
2026-06-24,21:39,Utomhus Kör,5.7,77,156,170,1.02,11.05,885,5:26
2026-06-25,21:44,Utomhus Kör,12.5,163,144,160,2.1,10.0,1888,6:00
2026-06-27,13:01,Utomhus Kör,12.7,168,152,162,2.07,9.89,1938,6:04
2026-06-29,19:23,Utomhus Kör,4.6,12,110,115,0.19,0.56,218,107:09
2026-07-01,21:33,Utomhus Kör,17.0,177,125,133,2.34,8.09,2506,7:25
2026-07-06,20:33,Utomhus Kör,17.9,194,122,146,2.52,8.41,2780,7:08
2026-07-11,00:11,Utomhus Kör,9.1,18,90,130,0.16,1.71,207,35:05
2026-07-30,19:46,Utomhus Kör,14.4,207,157,177,2.63,10.89,2278,5:31
2026-08-01,19:15,Utomhus Kör,40.5,577,151,164,7.14,10.52,6296,5:42
2026-08-03,22:59,Utomhus Kör,20.1,285,149,159,3.54,10.59,3160,5:40
2026-08-05,20:38,Utomhus Kör,20.0,270,142,154,3.38,10.13,3138,5:55
2026-08-09,11:22,Utomhus Kör,17.0,226,142,154,2.88,10.16,2644,5:54
2026-08-12,06:42,Utomhus Kör,18.2,252,150,163,3.1,10.27,2880,5:51
2026-08-13,07:18,Övrigt,23.1,223,134,162,0.0,0.0,1097,
2026-08-14,06:54,Utomhus Kör,20.9,279,146,164,3.45,9.86,3322,6:05
2026-08-15,16:31,Utomhus Kör,11.1,19,75,85,0.28,1.05,358,57:09
2026-08-16,07:19,Traditionell styrketräning,25.2,165,105,158,0.0,0.0,484,
2026-08-18,06:40,Utomhus Kör,19.7,261,142,158,3.29,10.09,3128,5:57
2026-08-19,06:47,Övrigt,13.0,167,141,159,0.0,0.0,1209,
2026-08-21,06:24,Utomhus Kör,18.5,244,142,156,3.09,10.07,3007,5:57
2026-08-23,19:42,Utomhus Kör,59.5,810,146,173,10.04,10.1,9980,5:56
2026-08-24,06:39,Övrigt,31.0,252,116,150,0.0,0.0,1544,
2026-08-26,06:46,Utomhus Kör,21.8,292,139,149,3.6,9.93,3588,6:03
2026-08-28,06:24,Övrigt,24.8,217,120,148,0.0,0.0,931,
2026-08-29,14:39,Utomhus Kör,23.2,415,175,181,5.03,12.9,3933,4:39
2026-09-01,06:39,Utomhus Kör,17.0,254,142,154,3.15,11.0,2797,5:27
